race,sigla_uf,outcome_label,n,share
Black,MS,Avoidable,1736,0.6754863813229572
Black,MS,Ill-defined,81,0.03151750972762646
Black,MS,Non-avoidable,753,0.29299610894941636
Black,MT,Avoidable,3052,0.6466101694915254
Black,MT,Ill-defined,255,0.05402542372881356
Black,MT,Non-avoidable,1413,0.29936440677966103
Black,PA,Avoidable,4752,0.6817790530846485
Black,PA,Ill-defined,485,0.06958393113342898
Black,PA,Non-avoidable,1733,0.24863701578192252
Black,PB,Avoidable,790,0.6386418755052546
Black,PB,Ill-defined,64,0.05173807599029911
Black,PB,Non-avoidable,383,0.30962004850444624
Black,PE,Avoidable,7296,0.6738708783596564
Black,PE,Ill-defined,405,0.03740648379052369
Black,PE,Non-avoidable,3126,0.2887226378498199
Black,PI,Avoidable,2968,0.7174280879864636
Black,PI,Ill-defined,219,0.05293691080493111
Black,PI,Non-avoidable,950,0.22963500120860528
Black,PR,Avoidable,6292,0.6692905010105308
Black,PR,Ill-defined,283,0.030103180512711415
Black,PR,Non-avoidable,2826,0.3006063184767578
Black,RJ,Avoidable,35336,0.6201474201474202
Black,RJ,Ill-defined,5584,0.097999297999298
Black,RJ,Non-avoidable,16060,0.28185328185328185
Black,RN,Avoidable,1261,0.6714589989350372
Black,RN,Ill-defined,51,0.027156549520766772
Black,RN,Non-avoidable,566,0.30138445154419596
Black,RO,Avoidable,963,0.642
Black,RO,Ill-defined,83,0.05533333333333333
Black,RO,Non-avoidable,454,0.30266666666666664
Black,RR,Avoidable,241,0.6531165311653117
Black,RR,Ill-defined,10,0.02710027100271003
Black,RR,Non-avoidable,118,0.31978319783197834
Black,RS,Avoidable,7879,0.6850708634031824
Black,RS,Ill-defined,497,0.04321363359707851
Black,RS,Non-avoidable,3125,0.2717155029997392
Black,SC,Avoidable,2689,0.6689054726368159
Black,SC,Ill-defined,110,0.02736318407960199
Black,SC,Non-avoidable,1221,0.3037313432835821
Black,SE,Avoidable,2427,0.6687792780380271
Black,SE,Ill-defined,187,0.051529346927528245
Black,SE,Non-avoidable,1015,0.27969137503444474
Black,SP,Avoidable,34737,0.6037122647247953
Black,SP,Ill-defined,2954,0.05133909174646761
Black,SP,Non-avoidable,19848,0.34494864352873705
Black,TO,Avoidable,1560,0.7120036513007759
Black,TO,Ill-defined,61,0.02784116841624829
Black,TO,Non-avoidable,570,0.2601551802829758
Brown,AC,Avoidable,2513,0.6234185065740511
Brown,AC,Ill-defined,422,0.1046886628628132
Brown,AC,Non-avoidable,1096,0.2718928305631357
Brown,AL,Avoidable,16387,0.7274381852887646
Brown,AL,Ill-defined,1478,0.06561015670084787
Brown,AL,Non-avoidable,4662,0.20695165801038753
Brown,AM,Avoidable,27898,0.6355621369176444
Brown,AM,Ill-defined,3563,0.08117097619318829
Brown,AM,Non-avoidable,12434,0.28326688688916735
Brown,AP,Avoidable,3843,0.6913113869400972
Brown,AP,Ill-defined,326,0.05864364094261558
Brown,AP,Non-avoidable,1390,0.25004497211728727
Brown,BA,Avoidable,71165,0.6584961877267007
Brown,BA,Ill-defined,10814,0.10006292101561921
Brown,BA,Non-avoidable,26093,0.24144089125768006
Brown,CE,Avoidable,64776,0.6711356548587295
Brown,CE,Ill-defined,2995,0.03103080286374421
Brown,CE,Non-avoidable,28746,0.29783354227752623
