parameter,label,mean,median,ci95_low,ci95_high
intercept,intercept,1.2305524349212646,1.2305481433868408,1.2275429964065552,1.2334626913070679
treatment_effect,media_vs_baixa,-0.09530545026063919,-0.09521295130252838,-0.09994193911552429,-0.09082798659801483
treatment_effect,alta_vs_baixa,-0.23830145597457886,-0.2381916046142578,-0.24452024698257446,-0.23198039829730988
sigma_ano,ano,0.45400679111480713,0.43483781814575195,0.2602969706058502,0.7312750220298767
sigma_idade_grupo,idade_grupo,0.5482398867607117,0.5294910669326782,0.2798430323600769,0.937997579574585
sigma_raca_cor,raca_cor,0.4976784884929657,0.4821891486644745,0.2890421450138092,0.7728146314620972
sigma_sexo,sexo,0.1838032305240631,0.14363759756088257,0.04137173667550087,0.5447298884391785
sigma_sigla_uf,sigla_uf,0.1310928612947464,0.1301523745059967,0.09875548630952835,0.17436113953590393
