step,loss,loss_per_row
1,170933.6482993029,0.06491972969969727
100,37275.61969149113,0.014157090653813568
200,31419.64271056652,0.011933020398999818
300,31330.05453968048,0.01189899526763406
400,30026.326023817062,0.011403845812311835
500,29940.344150066376,0.01137119033424473
600,29899.630587518215,0.01135572753039051
700,30255.9093131423,0.011491040377190391
800,29820.23624444008,0.011325573962947238
900,29820.91901218891,0.011325833274663468
1000,29876.29166775942,0.01134686352744376
1100,30265.965765804052,0.011494859766731504
1200,29920.300150245428,0.011363577725121697
1300,29819.569856464863,0.011325320872185667
1400,29772.619811356068,0.01130748948399395
1500,29753.739138185978,0.011300318700412449
1600,29724.584767520428,0.011289246018807606
1700,29736.749661773443,0.011293866183734692
1800,29766.513159036636,0.01130517020852132
1900,29743.895859718323,0.011296580273345356
2000,29805.77031931281,0.011320079878204638
2100,29715.80410823226,0.011285911169096946
2200,29774.685627520084,0.011308274070459584
2300,29941.63942438364,0.01137168227283845
2400,29846.66722738743,0.011335612315756714
2500,30105.67842924595,0.011433983452049355
2600,29717.68537968397,0.011286625666420042
2700,29757.497539788485,0.01130174612221363
2800,29743.909648656845,0.011296585510314032
2900,29858.189045071602,0.011339988243475731
3000,29799.03500133753,0.011317521838715355
