contrast,treated_level,reference_level,risk_difference_mean,risk_difference_median,risk_difference_ci95_low,risk_difference_ci95_high,risk_ratio_mean,risk_ratio_median,risk_ratio_ci95_low,risk_ratio_ci95_high
media_vs_baixa,media,baixa,-0.0197674640417099,-0.019747674465179443,-0.02074800580739975,-0.018830527365207673,0.971186825475243,0.9712117722855693,0.9697774419905499,0.9725508115340653
alta_vs_baixa,alta,baixa,-0.05047737467288971,-0.05046886205673218,-0.05182914435863495,-0.04909872561693192,0.9264239396992165,0.9264137526556621,0.9244116750686779,0.928462521840076
alta_vs_media,alta,media,-0.03070991063117981,-0.030725330114364624,-0.03225770741701126,-0.029026135802268982,0.9539095523344029,0.9538903136105852,0.9516088293378904,0.9564410634367173
