parameter,label,mean,median,ci95_low,ci95_high
intercept,intercept,1.265276312828064,1.2652697563171387,1.2607299089431763,1.2696728706359863
treatment_effect,media_vs_baixa,-0.1142512783408165,-0.11417175829410553,-0.11823742091655731,-0.11040186136960983
treatment_effect,alta_vs_baixa,-0.25802844762802124,-0.2579306960105896,-0.26356378197669983,-0.25240209698677063
sigma_ano,ano,0.8206273317337036,0.7794884443283081,0.44365164637565613,1.3796125650405884
sigma_idade_grupo,idade_grupo,0.6178784370422363,0.5801803469657898,0.2551487386226654,1.2119581699371338
sigma_raca_cor,raca_cor,0.2678617238998413,0.2519484758377075,0.12329743057489395,0.4868272840976715
sigma_sexo,sexo,0.25955408811569214,0.18438675999641418,0.04237406700849533,0.8905637860298157
sigma_sigla_uf,sigla_uf,0.15767495334148407,0.15653792023658752,0.11870761215686798,0.20983704924583435
