contrast,treated_level,reference_level,risk_difference_mean,risk_difference_median,risk_difference_ci95_low,risk_difference_ci95_high,risk_ratio_mean,risk_ratio_median,risk_ratio_ci95_low,risk_ratio_ci95_high
media_vs_baixa,media,baixa,-0.023563393890857695,-0.023551464080810547,-0.02439936399459839,-0.022760386765003204,0.9658627245559387,0.9658802287562015,0.9646347818037002,0.9670012612477685
alta_vs_baixa,alta,baixa,-0.05436243611574173,-0.054360777139663696,-0.05557865649461746,-0.05313340425491333,0.9212429029032344,0.9212319306300838,0.9194579635739267,0.9230987112975458
alta_vs_media,alta,media,-0.030799042224884034,-0.030804187059402466,-0.03216328769922257,-0.029308262467384338,0.9538034763829337,0.953791074504167,0.9517771071342973,0.956003310422928
