step,loss,loss_per_row
1,170931.93175097927,0.06491907776337989
100,37282.626497358084,0.01415975180302244
200,31408.315598249435,0.011928718419388315
300,30411.50733757019,0.011550135714990577
400,30498.145077824593,0.011583040287817923
500,29923.42176529765,0.011364763298631847
600,29881.827859133482,0.011348966144752557
700,30171.41830265522,0.011458951121403426
800,29894.222257852554,0.011353673474307845
900,29851.10178720951,0.01133729653900855
1000,29808.04480752349,0.01132094371725161
1100,30170.363560318947,0.011458550535631959
1200,29990.747578680515,0.011390333299916641
1300,29752.815124452114,0.011299967764698866
1400,29781.001528084278,0.011310672817350657
1500,29725.041395127773,0.011289419443648984
1600,29752.699090123177,0.011299923695451264
1700,29743.95918881893,0.011296604325415469
1800,29725.021905839443,0.011289412041716462
1900,29795.135016679764,0.011316040644390339
2000,29702.999279797077,0.01128104796042426
2100,29695.897210508585,0.01127835063065271
2200,30095.845191806555,0.011430248838513693
2300,29990.989860236645,0.011390425317218627
2400,29734.644792497158,0.011293066765095769
2500,30069.387139201164,0.011420200204785859
2600,29738.78759407997,0.01129464018005316
2700,29722.3723205328,0.011288405742701405
2800,29743.22358685732,0.011296324947534114
2900,29775.691015958786,0.011308655911871928
3000,29758.674646556377,0.011302193181373483
