support_type,escolaridade_grupo,n,share
global_three_level_common_support_min_cell_20,baixa,330145,0.12538739080896316
global_three_level_common_support_min_cell_20,media,1599556,0.6075032282567414
global_three_level_common_support_min_cell_20,alta,703299,0.2671093809342955
