level,observed_risk,predicted_risk_mean,predicted_risk_median,predicted_risk_ci95_low,predicted_risk_ci95_high,prediction_error_mean,prediction_error_median
alta,0.6329242587089539,0.632185706615448,0.6321797668933868,0.6297985434532165,0.6344305083155632,-0.0007385520935058594,-0.0007444918155670166
baixa,0.7010949850082397,0.702501622736454,0.7024652659893036,0.7007241398096085,0.7043452471494674,0.001406637728214264,0.0013702809810638428
media,0.6670438647270203,0.6657133818268776,0.6656964421272278,0.6636727005243301,0.6678659692406654,-0.0013304829001426696,-0.0013474225997924805
