level,treatment_code,propensity_mean,propensity_min,propensity_p01,propensity_p05,propensity_p50,propensity_p95,propensity_p99,propensity_max,propensity_extreme_share,n_used,crossfit_folds
baixa,0,0.12555529126591847,0.03189511224627495,0.036304865032434464,0.04151026904582977,0.09805227816104889,0.29003292322158813,0.36882179975509644,0.5772256255149841,0.0,2633000,2
media,1,0.607310240935247,0.2948648929595947,0.4393676519393921,0.48766061663627625,0.6147570013999939,0.6893614530563354,0.7119076251983643,0.7620890140533447,0.0,2633000,2
alta,2,0.26713446836120336,0.06780445575714111,0.09310975670814514,0.14107955917716405,0.25523510575294495,0.44333526492118835,0.5189370512962341,0.5369105339050293,0.0,2633000,2
