contrast,treated_level,reference_level,estimate_risk_difference,ci95_low_risk_difference,ci95_high_risk_difference,estimate_risk_ratio,ci95_low_risk_ratio,ci95_high_risk_ratio,n_valid_bootstrap_draws,n_bootstrap_iterations,model_type
alta_vs_baixa,alta,baixa,-0.037859995028618754,-0.03949593446693825,-0.03612872981510004,0.9440412757375966,0.941748618362765,0.9464678577304523,300,300,xgb_3class
alta_vs_media,alta,media,-0.026917344890297068,-0.027378967263439795,-0.02643410403942567,0.9595714801205466,0.9588765897531679,0.9602870937063896,300,300,xgb_3class
media_vs_baixa,media,baixa,-0.010942444315924726,-0.012522871724955106,-0.009276643740745945,0.9838290391193822,0.9815341859350348,0.9862557513769932,300,300,xgb_3class
