level,treatment_code,propensity_mean,propensity_min,propensity_p01,propensity_p05,propensity_p50,propensity_p95,propensity_p99,propensity_max,propensity_extreme_share,n_used,crossfit_folds
baixa,0,0.12557648122310638,0.03256780654191971,0.03645554929971695,0.041045743972063065,0.09779812395572662,0.29069268703460693,0.36953508853912354,0.560335636138916,0.0,2633000,1
media,1,0.6073006391525269,0.28793835639953613,0.4393070638179779,0.48723942041397095,0.6151027679443359,0.6902072429656982,0.71159827709198,0.7633893489837646,0.0,2633000,1
alta,2,0.26712286472320557,0.06932608783245087,0.09029709547758102,0.14208130538463593,0.2558687627315521,0.44285881519317627,0.5201541185379028,0.5385004878044128,0.0,2633000,1
