level,observed_risk,predicted_risk_mean,predicted_risk_median,predicted_risk_ci95_low,predicted_risk_ci95_high,prediction_error_mean,prediction_error_median
alta,0.5807473063468933,0.5555881470441818,0.5368900001049042,0.48543120101094245,0.6637358382344246,-0.025159159302711488,-0.043857306241989136
baixa,0.6278688311576843,0.5713783144950867,0.57105553150177,0.5180041685700416,0.6328861519694329,-0.056490516662597655,-0.05681329965591431
media,0.607867419719696,0.5977636754512787,0.5960595309734344,0.5293648570775986,0.6701938971877098,-0.010103744268417359,-0.011807888746261597
