contrast,treated_level,reference_level,risk_difference_mean,risk_difference_median,risk_difference_ci95_low,risk_difference_ci95_high,risk_ratio_mean,risk_ratio_median,risk_ratio_ci95_low,risk_ratio_ci95_high
media_vs_baixa,media,baixa,0.03259989619255066,0.028808951377868652,-0.001461605727672577,0.06553865224123001,1.0582274218103582,1.0501361205865931,0.9981262571440248,1.1172062733711767
alta_vs_baixa,alta,baixa,-0.006676736474037171,-0.019122779369354248,-0.027350930869579314,0.02368163615465164,0.9867949192520917,0.9656927733898191,0.9504715087175024,1.0374393112319744
alta_vs_media,alta,media,-0.03927663266658783,-0.043646156787872314,-0.08530570715665817,0.020088522136211408,0.9341998062224552,0.9268187269329957,0.8638965203280947,1.0340582794903068
