parameter,label,mean,median,ci95_low,ci95_high
intercept,intercept,0.19565826654434204,0.17510375380516052,0.10528925806283951,0.28541091084480286
treatment_effect,media_vs_baixa,0.13990074396133423,0.12636660039424896,-0.006598582491278648,0.28193366527557373
treatment_effect,alta_vs_baixa,-0.026209449395537376,-0.07986695319414139,-0.11337636411190033,0.10709822922945023
sigma_ano,ano,0.7184297442436218,0.7432480454444885,0.557091236114502,0.8071442246437073
sigma_idade_grupo,idade_grupo,0.6583095788955688,0.6675420999526978,0.48669683933258057,0.772118866443634
sigma_raca_cor,raca_cor,0.675937294960022,0.6595281958580017,0.5729766488075256,0.841983437538147
sigma_sexo,sexo,0.67771315574646,0.6427726149559021,0.5094911456108093,0.9057504534721375
sigma_sigla_uf,sigla_uf,0.6522268056869507,0.6616713404655457,0.5166853070259094,0.8291198015213013
