contrast,aipw_xgb_3class_bootstrap300,aipw_xgb_pair_crossfit3_bootstrap300,gcomp
alta_vs_baixa,,,1033444.0
alta_vs_media,,,2428619.0
media_vs_baixa,,,1946281.0
