contrast,aipw_xgb_3class_bootstrap300,aipw_xgb_pair_crossfit3_bootstrap300,gcomp
alta_vs_baixa,-0.0378599950286187,-0.03381116231957,-0.0471427917045235
alta_vs_media,-0.026917344890297,-0.0257683231273031,-0.0292703995156576
media_vs_baixa,-0.0109424443159247,-0.0149426063145977,-0.0176551393551718
