step,loss,loss_per_row
1,170930.39754697308,0.0649184950805063
100,37279.74587008357,0.014158657755443817
200,31405.24409508705,0.011927551878118895
300,31659.186542361975,0.012023997927216853
400,30647.43468797207,0.011639739721979517
500,29975.3382524848,0.011384480916249448
600,30031.297869116068,0.011405734093853426
700,30101.191321104765,0.011432279271213356
800,29848.092552393675,0.01133615364694025
900,29797.02387458086,0.011316758023008302
1000,30063.857840806246,0.01141810020539546
1100,29938.182000041008,0.011370369160668822
1200,29799.612774521112,0.011317741274030046
1300,29794.379168212414,0.011315753576989144
1400,29725.83097437024,0.011289719321826906
1500,29762.80172741413,0.011303760625679503
1600,29719.771250784397,0.01128741786964846
1700,29738.750856161118,0.011294626227178549
1800,29751.29502466321,0.011299390438535211
1900,29756.737686008215,0.011301457533614969
2000,29739.82135435939,0.011295032796946217
2100,29782.711019158363,0.011311322073360563
2200,29814.083642065525,0.011323237235877526
2300,29782.88904094696,0.011311389685129875
2400,29735.34581232071,0.011293333008857086
2500,30276.36211937666,0.01149880824890872
2600,30054.876788586378,0.01141468924746919
2700,29729.823293864727,0.011291235584452991
2800,29730.860193014145,0.0112916293934729
2900,29828.117390692234,0.01132856718218467
3000,29730.41165024042,0.011291459039210187
