level,observed_risk,predicted_risk_mean,predicted_risk_median,predicted_risk_ci95_low,predicted_risk_ci95_high,prediction_error_mean,prediction_error_median
alta,0.6329242587089539,0.6347024201750755,0.6346834599971771,0.6327685996890068,0.6367047980427742,0.0017781614661216735,0.0017592012882232666
baixa,0.7010949850082397,0.7045225926041603,0.7044666707515717,0.7029978722333908,0.7061590567231179,0.003427607595920563,0.003371685743331909
media,0.6670438647270203,0.6689736233949661,0.6689530313014984,0.6671033442020416,0.6708714067935944,0.0019297586679458618,0.0019091665744781494
