parameter,label,mean,median,ci95_low,ci95_high
intercept,intercept,1.2694590091705322,1.2694545984268188,1.2663395404815674,1.2724757194519043
treatment_effect,media_vs_baixa,-0.11179134249687195,-0.1117086410522461,-0.11593747138977051,-0.10778743028640747
treatment_effect,alta_vs_baixa,-0.2601291835308075,-0.2600417733192444,-0.26507893204689026,-0.25509804487228394
sigma_ano,ano,0.509708046913147,0.48267072439193726,0.26990807056427,0.8696920871734619
sigma_idade_grupo,idade_grupo,0.6500987410545349,0.6172412037849426,0.29005858302116394,1.2149362564086914
sigma_raca_cor,raca_cor,0.09970735013484955,0.09379655122756958,0.04593827202916145,0.18110553920269012
sigma_sexo,sexo,0.2316570281982422,0.16830819845199585,0.04066549614071846,0.7704548835754395
sigma_sigla_uf,sigla_uf,0.1209060400724411,0.12003318965435028,0.0910138264298439,0.1609237641096115
