level,mean,median,ci95_low,ci95_high
alta,0.638176974773407,0.6381466090679169,0.6361983746290207,0.6402322545647621
baixa,0.692922403037548,0.6929172873497009,0.6913792476058006,0.6945008009672164
media,0.6699178193211556,0.6699027717113495,0.6680714786052704,0.6717696830630302
