contrast,treated_level,reference_level,model_type,n_used,n_removed_no_common_support,propensity_mean,propensity_min,propensity_p01,propensity_p05,propensity_p50,propensity_p95,propensity_p99,propensity_max,propensity_extreme_share,crossfit_folds
media_vs_baixa,media,baixa,xgb,1946281,105671,0.8266479992319788,0.32019853591918945,0.5486529469490051,0.6310973167419434,0.8587416410446167,0.9329457879066467,0.9415194988250732,0.9503638744354248,0.0,3
alta_vs_baixa,alta,baixa,xgb,1033444,83074,0.6805578791896774,0.08004783093929291,0.18426759541034698,0.2992132008075714,0.7311718463897705,0.9244415163993835,0.9363172054290771,0.9451676607131958,0.0,3
alta_vs_media,alta,media,xgb,2428619,40283,0.3111164925041131,0.10691226273775101,0.13806688785552979,0.18113631010055542,0.2902025878429413,0.4858808219432831,0.5615119338035583,0.6180850267410278,0.0,3
