contrast,treated_level,reference_level,estimate_risk_difference,ci95_low_risk_difference,ci95_high_risk_difference,estimate_risk_ratio,ci95_low_risk_ratio,ci95_high_risk_ratio,n_valid_bootstrap_draws,n_bootstrap_iterations,model_type
alta_vs_baixa,alta,baixa,-0.03381116231957004,-0.03567398987019808,-0.03206564040164549,0.9496323887980755,0.9469734816339372,0.9521057145696389,300,300,xgb
alta_vs_media,alta,media,-0.02576832312730315,-0.026205638551864682,-0.025360676570700506,0.9615169742609915,0.9608710313418485,0.9621223798438164,300,300,xgb
media_vs_baixa,media,baixa,-0.014942606314597706,-0.016243423730817334,-0.013500503455649846,0.9781277331411677,0.97626738916259,0.9801985518253111,300,300,xgb
