contrast,gcomp_risk_difference,gcomp_risk_ratio,aipw_risk_difference,aipw_risk_ratio
media_vs_baixa,-0.0176551393551718,0.9743022760052517,-0.014624370211366533,0.9786085816843733
alta_vs_baixa,-0.0471427917045235,0.9312782904512452,-0.034402493852525695,0.9486841701770784
alta_vs_media,-0.0292703995156576,0.9563537077693472,-0.028895058997817524,0.9568949003198711
