run,contrast,treated_level,reference_level,risk_difference_mean,risk_difference_median,risk_difference_ci95_low,risk_difference_ci95_high,risk_ratio_mean,risk_ratio_median,risk_ratio_ci95_low,risk_ratio_ci95_high
conservative,media_vs_baixa,media,baixa,-0.0197674640417099,-0.0197476744651794,-0.0207480058073997,-0.0188305273652076,0.971186825475243,0.9712117722855692,0.96977744199055,0.9725508115340652
conservative,alta_vs_baixa,alta,baixa,-0.0504773746728897,-0.0504688620567321,-0.0518291443586349,-0.0490987256169319,0.9264239396992164,0.926413752655662,0.924411675068678,0.928462521840076
conservative,alta_vs_media,alta,media,-0.0307099106311798,-0.0307253301143646,-0.0322577074170112,-0.0290261358022689,0.9539095523344028,0.9538903136105852,0.9516088293378904,0.9564410634367172
default,media_vs_baixa,media,baixa,-0.0230045837163925,-0.0229876637458801,-0.0238715097308158,-0.0221670895814895,0.9668005204724835,0.9668201507137948,0.9655463898108516,0.9679910483066578
default,alta_vs_baixa,alta,baixa,-0.054745428264141,-0.0547439754009246,-0.0558295249938964,-0.0536372140049934,0.9209932018645056,0.9209738064087504,0.9193877655255626,0.9226351895833196
default,alta_vs_media,alta,media,-0.0317408445477485,-0.031748741865158,-0.0330170094966888,-0.0303575187921524,0.9526200421296306,0.9526146345065536,0.9507413653068204,0.9546794430479354
weak,media_vs_baixa,media,baixa,-0.0235633938908576,-0.0235514640808105,-0.0243993639945983,-0.0227603867650032,0.9658627245559388,0.9658802287562016,0.9646347818037002,0.9670012612477684
weak,alta_vs_baixa,alta,baixa,-0.0543624361157417,-0.0543607771396636,-0.0555786564946174,-0.0531334042549133,0.9212429029032344,0.9212319306300838,0.9194579635739268,0.9230987112975458
weak,alta_vs_media,alta,media,-0.030799042224884,-0.0308041870594024,-0.0321632876992225,-0.0293082624673843,0.9538034763829336,0.953791074504167,0.9517771071342972,0.956003310422928
