contrast,conservative,default,weak
alta_vs_baixa,-0.0504688620567321,-0.0547439754009246,-0.0543607771396636
alta_vs_media,-0.0307253301143646,-0.031748741865158,-0.0308041870594024
media_vs_baixa,-0.0197476744651794,-0.0229876637458801,-0.0235514640808105
