run,level,observed_risk,predicted_risk_mean,predicted_risk_median,predicted_risk_ci95_low,predicted_risk_ci95_high,prediction_error_mean,prediction_error_median
conservative,alta,0.6329242587089539,0.631217591047287,0.6311946213245392,0.6291397243738175,0.6333474516868591,-0.0017066676616668,-0.0017296373844146
conservative,baixa,0.7010949850082397,0.6990989021658898,0.6990559697151184,0.6976022630929947,0.7007086336612701,-0.00199608284235,-0.0020390152931213
conservative,media,0.6670438647270203,0.665425925552845,0.6654144525527954,0.6635048404335976,0.6673154234886169,-0.0016179391741752,-0.0016294121742248
default,alta,0.6329242587089539,0.6347024201750755,0.6346834599971771,0.6327685996890068,0.6367047980427742,0.0017781614661216,0.0017592012882232
default,baixa,0.7010949850082397,0.7045225926041603,0.7044666707515717,0.7029978722333908,0.7061590567231179,0.0034276075959205,0.0033716857433319
default,media,0.6670438647270203,0.6689736233949661,0.6689530313014984,0.6671033442020416,0.6708714067935944,0.0019297586679458,0.0019091665744781
weak,alta,0.6329242587089539,0.632185706615448,0.6321797668933868,0.6297985434532165,0.6344305083155632,-0.0007385520935058,-0.000744491815567
weak,baixa,0.7010949850082397,0.702501622736454,0.7024652659893036,0.7007241398096085,0.7043452471494674,0.0014066377282142,0.0013702809810638
weak,media,0.6670438647270203,0.6657133818268776,0.6656964421272278,0.6636727005243301,0.6678659692406654,-0.0013304829001426,-0.0013474225997924
