run,level,mean,median,ci95_low,ci95_high
conservative,alta,0.6355815533995628,0.6355421245098114,0.6334470242261887,0.6377678513526917
conservative,baixa,0.6860589280724525,0.6860618591308594,0.684518963098526,0.6876255735754967
conservative,media,0.6662914640307427,0.666286826133728,0.6643933042883873,0.668144391477108
default,alta,0.638176974773407,0.6381466090679169,0.6361983746290207,0.6402322545647621
default,baixa,0.692922403037548,0.6929172873497009,0.6913792476058006,0.6945008009672164
default,media,0.6699178193211556,0.6699027717113495,0.6680714786052704,0.6717696830630302
weak,alta,0.635894548714161,0.6358707547187805,0.6335817247629165,0.6381697684526444
weak,baixa,0.6902569848299026,0.6902527809143066,0.6883590400218964,0.6921034038066864
weak,media,0.6666935909390449,0.666686475276947,0.6646707400679588,0.6688467428088188
