feature,log_odds_coefficient,odds_ratio
intercept,0.9904993955802708,2.69257879859758
categorical__escolaridade_grupo_media,-0.08527355315744224,0.9182610568295243
categorical__escolaridade_grupo_alta,-0.22295952820314408,0.8001472320354857
categorical__ano_2019,-0.046341991248102614,0.954715402041614
categorical__ano_2020,-0.5827363602797629,0.5583683771702039
categorical__ano_2021,-1.0231940700288527,0.3594450121350946
categorical__ano_2022,-0.20663398308272996,0.8133172833996486
categorical__idade_grupo_idoso,-0.4322638054258383,0.6490381343173988
categorical__idade_grupo_jovem,0.5650713448693123,1.759573314771916
categorical__idade_grupo_meia-idade,-0.40217888496294607,0.6688610857974391
categorical__raca_cor_2,0.17666489495807733,1.1932311683417847
categorical__raca_cor_3,-0.013546024925180849,0.9865453095987584
categorical__raca_cor_4,0.20357120663232053,1.225772437660989
categorical__raca_cor_5,0.053596420453773136,1.0550587161035232
categorical__sexo_1,0.5952425386148629,1.8134707283043165
categorical__sexo_2,0.3938705513893999,1.4827086016829727
categorical__sigla_uf_AL,0.23359050116547256,1.2631271371963284
categorical__sigla_uf_AM,-0.06698792067589814,0.9352064979309395
categorical__sigla_uf_AP,0.013523108223532379,1.013614959020627
categorical__sigla_uf_BA,0.10480483513218866,1.1104938598179914
categorical__sigla_uf_CE,-0.0696070525857361,0.9327602736403643
categorical__sigla_uf_DF,-0.12604922596340318,0.8815714495113776
categorical__sigla_uf_ES,0.18051212233573732,1.1978306418976732
categorical__sigla_uf_GO,-0.011262707855064447,0.9888004789982174
categorical__sigla_uf_MA,0.19763402753194576,1.2185163687673337
categorical__sigla_uf_MG,-0.07959908571259654,0.9234865111160441
categorical__sigla_uf_MS,0.006229732209935826,1.0062491773500066
categorical__sigla_uf_MT,-0.05409578536196875,0.9473413607206643
categorical__sigla_uf_PA,0.05724789646618602,1.0589182799610992
categorical__sigla_uf_PB,-0.0039118543362134635,0.9960957869987833
categorical__sigla_uf_PE,0.07109832820284973,1.0736867943710058
categorical__sigla_uf_PI,0.19179988810657952,1.2114280715424643
categorical__sigla_uf_PR,0.050253788354089085,1.0515379305955512
categorical__sigla_uf_RJ,0.012473270123135144,1.0125513858050421
categorical__sigla_uf_RN,0.09850574229012594,1.1035207411124532
categorical__sigla_uf_RO,-0.032663283716027995,0.9678644004322968
categorical__sigla_uf_RR,-0.016805263578365755,0.9833351571607399
categorical__sigla_uf_RS,0.14861449684824576,1.1602256323478697
categorical__sigla_uf_SC,0.0716864643616691,1.0743184541307869
categorical__sigla_uf_SE,0.0563323589408759,1.0579492442015466
categorical__sigla_uf_SP,-0.11913113112460186,0.8876913891593649
categorical__sigla_uf_TO,0.08570141776267962,1.0894809800673968
