contrast,reference_level,comparison_level,n_used,n_removed_no_common_support,n_rows_standardized_over,risk_reference,risk_comparison,risk_difference,risk_ratio,odds_ratio_from_standardized_risks
media_vs_baixa,baixa,media,1946281,105671,1946281,0.6870312467664366,0.6693761074112647,-0.017655139355171823,0.9743022760052515,0.9222750546140536
alta_vs_baixa,baixa,alta,1033444,83074,1033444,0.6859956193475951,0.6388528276430716,-0.04714279170452351,0.9312782904512453,0.8097127298539784
alta_vs_media,media,alta,2428619,40283,2428619,0.6706274008563095,0.6413570013406518,-0.029270399515657686,0.9563537077693471,0.8783015634103881
