comparison,reference_level,comparison_level,risk_reference,risk_comparison,risk_difference,risk_ratio,odds_ratio_from_standardized_risks
media_vs_baixa,baixa,media,0.6906032800341123,0.6731236230527998,-0.017479656981312486,0.9746892934240783,0.9225679542452526
alta_vs_baixa,baixa,alta,0.6906032800341123,0.6439329407107321,-0.04667033932338016,0.9324209127401265,0.8102068543078216
baixa_vs_media,media,baixa,0.6731236230527998,0.6906032800341123,0.017479656981312486,1.025967974355197,1.083930994349456
alta_vs_media,media,alta,0.6731236230527998,0.6439329407107321,-0.029190682342067675,0.9566339950904116,0.8782083212186218
baixa_vs_alta,alta,baixa,0.6439329407107321,0.6906032800341123,0.04667033932338016,1.0724770179824445,1.2342527031005226
media_vs_alta,alta,media,0.6439329407107321,0.6731236230527998,0.029190682342067675,1.0453318668708715,1.1386819913211224
